order,word,freq
33256,venture,68.23
34569,joint,67.25520463
33218,invest,57.2985356
49208,opportunity,55.92551373
10186,capital,54.22302559
39225,acquisition,47.17006102
10666,cash,46.81328948
53236,positive,45.24076876
57624,return,44.86645835
27815,growth,44.71803394
43313,million,43.28177131
14173,continu,43.19388264
50745,partner,42.9848798
23998,flow,42.15161049
54261,project,41.57170202
22514,facility,41.44876689
24140,focus,41.03187647
12089,china,40.99986263
6235,believe,39.24800158
13766,complet,39.10929149
2905,announce,38.90475447
495,long,38.88652494
17507,develop,38.86539212
58147,risk,38.80865565
25952,generate,38.52686207
40948,market,38.37380952
27803,grow,38.30430886
4184,asset,37.69553976
674,addition,36.53699876
61861,shareholder,36.46611707
