order,word,freq
19696,earnings,81.15394703
9868,cfo,78.11237146
75394,analyst,71.66691575
11361,ceo,66.89194582
57520,result,66.24596677
3003,anticipate,64.86576706
53869,president,58.8809367
28020,guidance,57.81316436
24282,forecast,53.73970837
13939,conference,53.05356403
61572,will,52.85624259
5400,bank,52.27371149
55333,question,51.74658405
68381,thank,51.36059815
11597,chairman,49.7227451
26889,share,48.65640855
69192,today,48.41962975
14496,corporate,47.40230819
51588,period,46.51873148
13637,comment,46.112749
72718,vari,44.76942512
24401,forth,44.37064808
40184,made,43.27018591
22283,expect,43.18121373
24197,follow,42.90602504
76592,yes,42.56401546
75394,will,42.40213139
72739,various,40.60623736
34755,director,40.2864152
27099,good,40.04328981
