order,word,freq
9468,price,148.38967
55269,cost,72.69193016
32037,impact,71.17565903
53975,business,69.60116654
14606,quarter,64.81817932
76538,year,63.79227259
11519,oil,61.71364214
43313,million,56.31299046
48592,gas,53.19532176
57668,revenue,51.8577331
72721,variable,51.80185588
32253,increase,51.57605047
66434,supplies,48.57085739
43909,model,48.19338368
59609,sale,47.9603554
33628,issue,47.23235916
40869,margin,46.86760043
37831,lease,46.86420497
12046,chief,46.84157043
14606,cost,46.44461619
73936,volume,45.78499701
50716,part,45.62688252
22297,expenses,44.49018387
10157,capacity,44.39727707
33210,inventories,44.14365772
60994,second,43.06542553
23664,first,43.03056869
22100,plant,43.00779106
20968,energi,42.69829182
22200,executive,42.52808219
