order,word,freq
57270,capital,73.70105844
24353,risk,73.24414106
23460,file,64.89310086
58147,balance,64.56019696
72094,loan,64.44010406
55989,rate,64.00813635
39292,look,63.04977527
22527,factor,61.61152993
24441,forward,60.09323004
58147,form,59.53195515
65069,statement,59.48976118
52652,investor,59.33299021
48357,oblig,56.65902032
18117,asset,56.04392863
56700,refer,54.38163757
2909,annual,53.99908613
56971,release,53.99179237
53190,portfolio,53.17594047
32477,inform,52.76202055
54737,public,49.11276776
16291,date,49.0206766
71481,undertake,48.28352034
4706,available,48.10124545
15021,credit,47.91362078
60981,sec,47.48114715
55269,quarter,47.38324434
32948,interest,47.36430218
23514,financial,47.12011365
32477,inform,46.4455701
39065,update,45.90192682
