order,word,freq
33256,uncertainties,86.88511061
34569,market,80.6971025
33218,result,79.55850801
49208,statement,77.51205702
10186,china,73.61042691
39225,expect,72.06119641
10666,future,71.31805942
53236,material,71.03057661
57624,actual,70.95301602
27815,cause,66.54832886
43313,time,66.2266284
14173,forward,66.09447322
50745,look,65.46005416
23998,security,65.15614364
54261,risk,63.06877598
22514,act,61.57046666
24140,companies,60.9211389
12089,statement,60.68427136
6235,current,60.31993296
13766,exchange,60.11374761
2905,factor,59.15834869
495,litigation,57.30207093
17507,private,56.66720738
58147,reform,56.55740962
25952,manage,56.20891856
40948,global,56.07571867
27803,financial,55.04676332
4184,perform,54.24258744
674,plan,53.42872161
61861,risk,53.21375849
