order,word,freq
54185,technology,84.88898844
40948,system,74.07719777
15656,customer,65.42353372
46439,network,59.61221563
61540,service,51.25979086
13749,competit,49.56617071
32357,industries,47.34241072
162,ability,45.50356081
67001,market,43.40312887
37448,larger,42.64627433
49362,order,42.54107125
11671,change,42.19129353
17022,demand,41.31611149
46439,new,40.3464024
48587,offer,40.18339701
67758,product,39.95085104
58147,risk,38.83667275
8446,brand,38.44812827
63940,solution,38.02939216
13908,condition,37.90741924
22272,expand,37.84147146
46320,new,37.78598216
2052,also,37.73392189
27803,grow,37.5874061
17863,digital,37.28884307
17507,develop,36.63064632
12901,client,36.57771797
20161,effect,36.53514084
25947,general,36.11758503
54525,provide,36.06719104
