bigram,weight
supply_chain,761.6278817
the_supply,281.1494923
a_supply,146.2325533
the_retailer,133.1760753
of_demand,104.8870397
the_manufacturer,104.8870397
lead_time,98.79401665
demand_is,93.13620953
of_product,79.20929969
the_demand,74.42192444
the_supplier,71.81062884
transportation_cost,64.41195799
of_supply,56.57807121
transportation_costs,56.57807121
an_order,55.70763935
expected_profit,53.53155968
demand_and,52.66112782
supply_chains,52.66112782
third_party,52.66112782
fixed_cost,46.56810477
the_season,45.26245697
the_quantity,44.82724104
demand_in,40.91029764
and_demand,39.60464985
of_transportation,38.73421798
revenue_management,38.73421798
chain_management,38.29900205
response_time,37.42857019
demand_uncertainty,36.99335425
service_level,36.55813832
the_forecast,36.12292239
customer_demand,33.94684273
economies_of,33.51162679
order_is,33.07641086
strategic_fit,32.64119493
of_safety,32.205979
chain_to,31.77076306
of_scale,31.33554713
to_order,31.33554713
if_demand,30.02989933
supply_and,30.02989933
the_aggregate,29.5946834
the_lot,29.15946747
chain_is,28.72425154
customer_order,27.41860374
spot_market,26.98338781
time_is,26.54817188
demand_from,24.80730815
lead_times,23.93687628
the_lead,23.93687628
and_supply,23.06644442
stages_of,23.06644442
the_plant,23.06644442
the_spot,23.06644442
demand_at,22.63122848
demand_forecast,22.63122848
distribution_network,22.63122848
when_demand,22.63122848
capacity_is,20.45514882
demand_of,20.45514882
in_supply,20.45514882
and_transportation,20.01993289
supplier_to,20.01993289
customer_orders,19.14950102
global_supply,18.71428509
high_demand,18.71428509
chain_and,18.27906916
demand_the,18.27906916
of_capacity,18.27906916
production_cost,18.27906916
to_forecast,18.27906916
the_peak,17.4086373
variable_cost,16.97342136
chain_the,16.53820543
demand_to,16.53820543
the_cycle,16.53820543
the_safety,16.53820543
to_supply,16.53820543
fixed_costs,15.23255763
from_supplier,15.23255763
million_units,14.7973417
the_network,14.7973417
a_forecast,14.36212577
demand_per,14.36212577
a_demand,13.92690984
of_orders,13.92690984
uncertainty_and,13.92690984
chain_for,13.4916939
demand_across,13.4916939
lower_price,13.4916939
the_capacity,13.4916939
capacity_to,13.05647797
product_to,13.05647797
production_capacity,13.05647797
revenue_sharing,13.05647797
future_demand,12.62126204
in_transportation,12.62126204
demand_has,12.18604611
level_is,12.18604611
product_in,12.18604611
retailers_to,12.18604611
square_feet,12.18604611
the_distributor,12.18604611
a_facility,11.75083017
forecast_is,11.75083017
of_strategic,11.75083017
supply_uncertainty,11.75083017
marginal_cost,11.31561424
material_cost,11.31561424
of_forecast,11.31561424
orders_in,11.31561424
pricing_and,11.31561424
a_store,10.88039831
and_cycle,10.88039831
at_retail,10.88039831
for_supply,10.88039831
in_europe,10.88039831
with_demand,10.88039831
a_capacity,10.44518238
and_capacity,10.44518238
chain_a,10.44518238
customer_segments,10.44518238
demand_over,10.44518238
distribution_center,10.44518238
high_cost,10.44518238
in_lot,10.44518238
risk_sharing,10.44518238
scale_in,10.44518238
to_aggregate,10.44518238
designing_a,10.00996644
on_supply,10.00996644
on_time,10.00996644
quantity_of,10.00996644
season_the,10.00996644
the_offshore,10.00996644
the_seasonal,10.00996644
a_distributor,9.574750512
at_stores,9.574750512
availability_and,9.574750512
factor_of,9.574750512
of_order,9.574750512
the_competitive,9.574750512
fluctuations_in,9.13953458
forecasts_are,9.13953458
of_uncertainty,9.13953458
product_and,9.13953458
seasonal_factors,9.13953458
stages_in,9.13953458
uncertainty_in,9.13953458
volume_based,9.13953458
an_expected,8.704318648
and_environmental,8.704318648
be_effective,8.704318648
in_china,8.704318648
in_global,8.704318648
network_is,8.704318648
orders_are,8.704318648
seasonal_factor,8.704318648
the_constraints,8.704318648
the_orders,8.704318648
the_workforce,8.704318648
a_production,8.269102715
and_shipping,8.269102715
available_capacity,8.269102715
benefit_from,8.269102715
component_is,8.269102715
costs_per,8.269102715
facility_and,8.269102715
forecast_to,8.269102715
order_from,8.269102715
production_in,8.269102715
and_price,7.833886783
and_seasonal,7.833886783
for_order,7.833886783
forecast_the,7.833886783
level_the,7.833886783
or_distributor,7.833886783
overall_supply,7.833886783
plant_is,7.833886783
the_location,7.833886783
the_plants,7.833886783
to_pick,7.833886783
weeks_to,7.833886783
and_facility,7.398670851
at_stage,7.398670851
availability_is,7.398670851
capacity_at,7.398670851
chain_with,7.398670851
contract_manufacturer,7.398670851
cost_but,7.398670851
cost_by,7.398670851
expected_demand,7.398670851
in_safety,7.398670851
location_of,7.398670851
long_lead,7.398670851
market_conditions,7.398670851
network_with,7.398670851
of_lead,7.398670851
of_learning,7.398670851
place_orders,7.398670851
product_the,7.398670851
season_is,7.398670851
the_forecasting,7.398670851
the_onshore,7.398670851
third_parties,7.398670851
uncertain_demand,7.398670851
and_planning,6.963454918
at_store,6.963454918
cost_if,6.963454918
cubic_feet,6.963454918
delivery_is,6.963454918
delivery_to,6.963454918
design_a,6.963454918
in_india,6.963454918
is_uncertain,6.963454918
orders_from,6.963454918
place_an,6.963454918
plan_is,6.963454918
processes_in,6.963454918
product_with,6.963454918
sales_force,6.963454918
the_challenge,6.963454918
the_environmental,6.963454918
the_off,6.963454918
variability_in,6.963454918
variable_costs,6.963454918
a_factor,6.528238986
and_safety,6.528238986
appropriate_level,6.528238986
for_orders,6.528238986
low_levels,6.528238986
manufacturers_to,6.528238986
on_customer,6.528238986
on_performance,6.528238986
planning_is,6.528238986
service_center,6.528238986
supplier_and,6.528238986
supply_of,6.528238986
to_units,6.528238986
variable_production,6.528238986
a_lead,6.093023053
and_operation,6.093023053
constraints_in,6.093023053
costs_by,6.093023053
customers_could,6.093023053
demand_can,6.093023053
electronics_industry,6.093023053
facilities_are,6.093023053
feet_of,6.093023053
for_segment,6.093023053
in_orders,6.093023053
low_price,6.093023053
network_and,6.093023053
network_in,6.093023053
of_forecasting,6.093023053
order_a,6.093023053
orders_for,6.093023053
orders_with,6.093023053
predictable_demand,6.093023053
production_schedule,6.093023053
relatively_low,6.093023053
significantly_reduce,6.093023053
the_chinese,6.093023053
time_horizon,6.093023053
two_products,6.093023053
uncertainty_is,6.093023053
base_load,5.657807121
chain_are,5.657807121
china_and,5.657807121
contract_manufacturers,5.657807121
cost_associated,5.657807121
costs_increase,5.657807121
demand_by,5.657807121
flexibility_and,5.657807121
help_reduce,5.657807121
inventory_given,5.657807121
laid_off,5.657807121
location_to,5.657807121
mid_range,5.657807121
network_to,5.657807121
of_network,5.657807121
of_producing,5.657807121
on_safety,5.657807121
product_life,5.657807121
relatively_stable,5.657807121
sharing_of,5.657807121
the_electronics,5.657807121
the_planned,5.657807121
the_variable,5.657807121
transportation_in,5.657807121
uncertainty_the,5.657807121
a_wholesale,5.222591189
air_freight,5.222591189
and_trend,5.222591189
end_customer,5.222591189
for_demand,5.222591189
industry_in,5.222591189
is_effective,5.222591189
multiple_products,5.222591189
of_trade,5.222591189
of_transport,5.222591189
per_store,5.222591189
price_sensitive,5.222591189
pricing_is,5.222591189
products_have,5.222591189
shipping_to,5.222591189
short_lead,5.222591189
shut_down,5.222591189
targeting_a,5.222591189
the_chain,5.222591189
to_outsource,5.222591189
a_competitive,4.787375256
and_variable,4.787375256
at_price,4.787375256
capacity_can,4.787375256
capacity_constraint,4.787375256
capacity_constraints,4.787375256
decision_and,4.787375256
direct_sales,4.787375256
duration_of,4.787375256
forecast_and,4.787375256
forecast_of,4.787375256
improve_performance,4.787375256
infrastructure_and,4.787375256
network_for,4.787375256
objective_is,4.787375256
of_availability,4.787375256
of_component,4.787375256
of_components,4.787375256
of_cycle,4.787375256
pass_through,4.787375256
plan_in,4.787375256
plant_to,4.787375256
pricing_to,4.787375256
processing_costs,4.787375256
production_plan,4.787375256
scenario_in,4.787375256
season_to,4.787375256
sell_through,4.787375256
single_product,4.787375256
supply_with,4.787375256
technology_to,4.787375256
the_effort,4.787375256
the_target,4.787375256
to_demand,4.787375256
units_to,4.787375256
wait_for,4.787375256
a_safety,4.352159324
accurate_forecast,4.352159324
bricks_and,4.352159324
cost_reduction,4.352159324
cost_than,4.352159324
cycles_in,4.352159324
demand_pattern,4.352159324
demand_variability,4.352159324
demand_will,4.352159324
facility_is,4.352159324
flexible_and,4.352159324
high_tech,4.352159324
if_customers,4.352159324
