Word,Count
risk,413925
risks,106858
uncertainty,91775
variable,68138
chance,60863
possibility,57599
pending,53318
uncertainties,51092
uncertain,39191
doubt,39022
prospect,30926
bet,21279
variability,21215
exposed,19553
likelihood,19280
threat,19021
probability,15791
unknown,12050
varying,9442
unclear,9036
unpredictable,8467
speculative,8132
fear,7939
reservation,7026
hesitant,6275
gamble,6065
risky,5227
instability,4762
doubtful,4736
hazard,4626
tricky,4359
sticky,4325
dangerous,4297
tentative,4018
hazardous,3155
queries,2676
danger,2465
fluctuating,2462
unstable,2440
vague,2427
erratic,1876
query,1826
jeopardize,1821
unsettled,1664
unpredictability,1563
dilemma,1547
skepticism,1502
hesitancy,1491
riskier,1352
unresolved,1214
unsure,1151
irregular,1123
jeopardy,1077
suspicion,1027
risking,863
peril,660
hesitating,628
risked,577
unreliable,550
unsafe,486
hazy,472
apprehension,466
unforeseeable,466
halting,453
wager,446
torn,437
precarious,362
undetermined,349
insecurity,348
debatable,346
undecided,341
dicey,330
indecision,324
wavering,266
iffy,235
faltering,212
endanger,205
quandary,204
insecure,189
changeable,189
riskiest,183
hairy,177
ambivalent,169
dubious,158
riskiness,135
treacherous,130
oscillating,112
perilous,92
tentativeness,85
unreliability,72
wariness,70
vagueness,59
dodgy,58
equivocation,55
indecisive,43
chancy,40
menace,38
qualm,35
vacillating,33
gnarly,32
disquiet,30
ambivalence,30
imperil,28
vacillation,22
incalculable,17
untrustworthy,17
equivocating,15
diffident,15
fickleness,11
misgiving,11
changeability,11
undependable,9
incertitude,8
fitful,8
parlous,8
unconfident,6
defenseless,5
unsureness,3
fluctuant,3
niggle,3
diffidence,3
precariousness,1
doubtfulness,1
